C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
85.0 62.0 4 146 0 0 0.02 0.97 0.0 0.0 1 0.97
84.0 62.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
83.0 62.0 3 147 0 0 0.02 0.98 0.0 0.0 1 0.98
82.0 62.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
81.0 62.0 3 147 0 0 0.02 0.98 0.0 0.0 1 0.98
80.0 62.0 7 143 0 0 0.04 0.95 0.0 0.0 1 0.95
79.0 62.0 2 148 0 0 0.01 0.98 0.0 0.0 1 0.98
99.0 68.0 63 87 0 0 0.42 0.58 0.0 0.0 1 0.58
98.0 68.0 64 86 0 0 0.42 0.57 0.0 0.0 1 0.57
97.0 68.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
96.0 68.0 65 85 0 0 0.43 0.56 0.0 0.0 1 0.56
95.0 68.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
94.0 68.0 61 89 0 0 0.40 0.59 0.0 0.0 1 0.59
93.0 68.0 53 97 0 0 0.35 0.64 0.0 0.0 1 0.64
92.0 68.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
90.0 68.0 39 111 0 0 0.26 0.74 0.0 0.0 1 0.74
89.0 68.0 55 95 0 0 0.36 0.63 0.0 0.0 1 0.63
88.0 68.0 41 109 0 0 0.27 0.72 0.0 0.0 1 0.72
87.0 68.0 26 124 0 0 0.17 0.82 0.0 0.0 1 0.82
86.0 68.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
85.0 68.0 7 143 0 0 0.04 0.95 0.0 0.0 1 0.95
84.0 68.0 7 143 0 0 0.04 0.95 0.0 0.0 1 0.95
83.0 68.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
82.0 68.0 2 148 0 0 0.01 0.98 0.0 0.0 1 0.98
81.0 68.0 1 149 0 0 0.00 0.99 0.0 0.0 1 0.99
80.0 68.0 2 148 0 0 0.01 0.98 0.0 0.0 1 0.98
79.0 68.0 1 149 0 0 0.00 0.99 0.0 0.0 1 0.99
