C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
86.0 55.0 1 44 105 0 0.00 0.29 0.7 0.0 2 0.7
85.0 55.0 1 17 132 0 0.00 0.11 0.88 0.0 2 0.88
84.0 55.0 3 98 49 0 0.02 0.65 0.32 0.0 1 0.65
83.0 55.0 3 51 96 0 0.02 0.34 0.64 0.0 2 0.64
82.0 55.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
81.0 55.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
80.0 55.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
79.0 55.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
99.0 62.0 64 26 60 0 0.42 0.17 0.4 0.0 0 0.42
98.0 62.0 15 126 9 0 0.1 0.84 0.06 0.0 1 0.84
97.0 62.0 19 121 10 0 0.12 0.80 0.06 0.0 1 0.80
96.0 62.0 19 122 9 0 0.12 0.81 0.06 0.0 1 0.81
95.0 62.0 23 124 3 0 0.15 0.82 0.02 0.0 1 0.82
94.0 62.0 6 124 20 0 0.04 0.82 0.13 0.0 1 0.82
93.0 62.0 5 126 19 0 0.03 0.84 0.12 0.0 1 0.84
92.0 62.0 4 130 16 0 0.02 0.86 0.10 0.0 1 0.86
90.0 62.0 4 125 21 0 0.02 0.83 0.14 0.0 1 0.83
89.0 62.0 2 111 37 0 0.01 0.74 0.24 0.0 1 0.74
88.0 62.0 4 124 22 0 0.02 0.82 0.14 0.0 1 0.82
87.0 62.0 2 76 72 0 0.01 0.50 0.48 0.0 1 0.50
86.0 62.0 0 33 117 0 0.0 0.22 0.78 0.0 2 0.78
85.0 62.0 0 61 89 0 0.0 0.40 0.59 0.0 2 0.59
84.0 62.0 0 51 99 0 0.0 0.34 0.66 0.0 2 0.66
83.0 62.0 1 24 125 0 0.00 0.16 0.83 0.0 2 0.83
82.0 62.0 0 14 136 0 0.0 0.09 0.90 0.0 2 0.90
81.0 62.0 0 20 130 0 0.0 0.13 0.86 0.0 2 0.86
80.0 62.0 0 17 133 0 0.0 0.11 0.88 0.0 2 0.88
79.0 62.0 0 13 137 0 0.0 0.08 0.91 0.0 2 0.91
99.0 68.0 9 125 16 0 0.06 0.83 0.10 0.0 1 0.83
98.0 68.0 17 122 11 0 0.11 0.81 0.07 0.0 1 0.81
97.0 68.0 15 124 11 0 0.1 0.82 0.07 0.0 1 0.82
96.0 68.0 18 121 11 0 0.12 0.80 0.07 0.0 1 0.80
95.0 68.0 15 127 8 0 0.1 0.84 0.05 0.0 1 0.84
94.0 68.0 8 127 15 0 0.05 0.84 0.1 0.0 1 0.84
93.0 68.0 6 128 16 0 0.04 0.85 0.10 0.0 1 0.85
92.0 68.0 4 128 18 0 0.02 0.85 0.12 0.0 1 0.85
90.0 68.0 6 112 32 0 0.04 0.74 0.21 0.0 1 0.74
89.0 68.0 6 126 18 0 0.04 0.84 0.12 0.0 1 0.84
88.0 68.0 4 118 28 0 0.02 0.78 0.18 0.0 1 0.78
87.0 68.0 4 103 43 0 0.02 0.68 0.28 0.0 1 0.68
86.0 68.0 0 22 128 0 0.0 0.14 0.85 0.0 2 0.85
85.0 68.0 0 29 121 0 0.0 0.19 0.80 0.0 2 0.80
84.0 68.0 0 62 88 0 0.0 0.41 0.58 0.0 2 0.58
83.0 68.0 1 76 73 0 0.00 0.50 0.48 0.0 1 0.50
82.0 68.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
81.0 68.0 0 16 134 0 0.0 0.10 0.89 0.0 2 0.89
80.0 68.0 0 16 134 0 0.0 0.10 0.89 0.0 2 0.89
79.0 68.0 0 12 138 0 0.0 0.08 0.92 0.0 2 0.92
